1 , 1
2 , 1
3 , 1
4 , 1
5 , 0.8292
6 , 0.7067
7 , 0.6203
8 , 0.5502
9 , 0.4953
10 , 0.453
11 , 0.411
12 , 0.378
13 , 0.3488
14 , 0.3255
15 , 0.3025
16 , 0.2835
17 , 0.2662
18 , 0.2509
19 , 0.2392
20 , 0.2281
21 , 0.2179
22 , 0.2076
23 , 0.1996
24 , 0.1918
25 , 0.184
26 , 0.1775
27 , 0.1704
28 , 0.1659
29 , 0.1589
30 , 0.1537
31 , 0.1486
32 , 0.1451
33 , 0.1415
34 , 0.1365
35 , 0.1324
36 , 0.1303
37 , 0.1259
38 , 0.1228
39 , 0.1194
40 , 0.1157
41 , 0.1131
42 , 0.1106
43 , 0.1078
44 , 0.1052
45 , 0.1033
46 , 0.1007
47 , 0.0989
48 , 0.0968
49 , 0.0949
50 , 0.093
51 , 0.0921
52 , 0.09
53 , 0.0887
54 , 0.0871
55 , 0.0857
56 , 0.0844
57 , 0.0832
58 , 0.0823
59 , 0.0814
60 , 0.0802
61 , 0.0788
62 , 0.0777
63 , 0.0766
64 , 0.0757
65 , 0.0744
66 , 0.0732
67 , 0.0725
68 , 0.0721
69 , 0.0711
70 , 0.07
71 , 0.0692
72 , 0.0677
73 , 0.0676
74 , 0.0668
75 , 0.0659
76 , 0.0649
77 , 0.0638
78 , 0.0631
79 , 0.0621
80 , 0.0612
81 , 0.0605
82 , 0.06
83 , 0.0595
84 , 0.0584
85 , 0.0583
86 , 0.0579
87 , 0.0566
88 , 0.0558
89 , 0.0555
90 , 0.0549
91 , 0.0539
92 , 0.0537
93 , 0.053
94 , 0.0524
95 , 0.0521
96 , 0.0511
97 , 0.0511
98 , 0.0505
99 , 0.0499
100 , 0.0491
